Country Code,Series Code,Year,Value
IDN,NY.GDP.MKTP.KD.ZG,2018,5.17429153955024
IDN,NY.GDP.MKTP.KD.ZG,2019,5.01928768046282
IDN,NY.GDP.MKTP.KD.ZG,2020,-2.06551182934165
IDN,NY.GDP.MKTP.KD.ZG,2021,3.70305535690933
IDN,NY.GDP.MKTP.KD.ZG,2022,5.30859500543608
IDN,SP.POP.TOTL,1960,88382881.0
IDN,SP.POP.TOTL,1961,90816938.0
IDN,SP.POP.TOTL,1962,93345489.0
IDN,SP.POP.TOTL,1963,95962527.0
IDN,SP.POP.TOTL,1964,98675061.0
IDN,SP.POP.TOTL,1965,101157868.0
IDN,SP.POP.TOTL,1966,103561105.0
IDN,SP.POP.TOTL,1967,106260749.0
IDN,SP.POP.TOTL,1968,109138723.0
IDN,SP.POP.TOTL,1969,112149246.0
IDN,SP.POP.TOTL,1970,115228394.0
IDN,SP.POP.TOTL,1971,118347135.0
IDN,SP.POP.TOTL,1972,121504145.0
IDN,SP.POP.TOTL,1973,124709058.0
IDN,SP.POP.TOTL,1974,127945196.0
IDN,SP.POP.TOTL,1975,131213215.0
IDN,SP.POP.TOTL,1976,134521025.0
IDN,SP.POP.TOTL,1977,137861540.0
IDN,SP.POP.TOTL,1978,141250964.0
IDN,SP.POP.TOTL,1979,144693087.0
IDN,SP.POP.TOTL,1980,148177096.0
IDN,SP.POP.TOTL,1981,151686337.0
IDN,SP.POP.TOTL,1982,155228658.0
IDN,SP.POP.TOTL,1983,158790611.0
IDN,SP.POP.TOTL,1984,162331962.0
IDN,SP.POP.TOTL,1985,165791694.0
IDN,SP.POP.TOTL,1986,169135273.0
IDN,SP.POP.TOTL,1987,172421390.0
IDN,SP.POP.TOTL,1988,175694647.0
IDN,SP.POP.TOTL,1989,178949174.0
IDN,SP.POP.TOTL,1990,182159874.0
IDN,SP.POP.TOTL,1991,185361228.0
IDN,SP.POP.TOTL,1992,188558416.0
IDN,SP.POP.TOTL,1993,191737287.0
IDN,SP.POP.TOTL,1994,194928533.0
IDN,SP.POP.TOTL,1995,198140162.0
IDN,SP.POP.TOTL,1996,201373791.0
IDN,SP.POP.TOTL,1997,204628007.0
IDN,SP.POP.TOTL,1998,207855486.0
IDN,SP.POP.TOTL,1999,210996910.0
IDN,SP.POP.TOTL,2000,214072421.0
IDN,SP.POP.TOTL,2001,217112437.0
IDN,SP.POP.TOTL,2002,220115092.0
IDN,SP.POP.TOTL,2003,223080121.0
IDN,SP.POP.TOTL,2004,225938595.0
IDN,SP.POP.TOTL,2005,228805144.0
IDN,SP.POP.TOTL,2006,231797427.0
IDN,SP.POP.TOTL,2007,234858289.0
IDN,SP.POP.TOTL,2008,237936543.0
IDN,SP.POP.TOTL,2009,240981299.0
IDN,SP.POP.TOTL,2010,244016173.0
IDN,SP.POP.TOTL,2011,247099697.0
IDN,SP.POP.TOTL,2012,250222695.0
IDN,SP.POP.TOTL,2013,253275918.0
IDN,SP.POP.TOTL,2014,256229761.0
IDN,SP.POP.TOTL,2015,259091970.0
IDN,SP.POP.TOTL,2016,261850182.0
IDN,SP.POP.TOTL,2017,264498852.0
IDN,SP.POP.TOTL,2018,267066843.0
IDN,SP.POP.TOTL,2019,269582878.0
IDN,SP.POP.TOTL,2020,271857970.0
IDN,SP.POP.TOTL,2021,273753191.0
IDN,SP.POP.TOTL,2022,275501339.0
IND,BX.KLT.DINV.CD.WD,1970,45460000.0
IND,BX.KLT.DINV.CD.WD,1971,47659999.9
IND,BX.KLT.DINV.CD.WD,1972,17789999.9
IND,BX.KLT.DINV.CD.WD,1973,37909999.9
IND,BX.KLT.DINV.CD.WD,1974,56969999.9
IND,BX.KLT.DINV.CD.WD,1975,-10326246.7051639
IND,BX.KLT.DINV.CD.WD,1976,-7706430.54257424
IND,BX.KLT.DINV.CD.WD,1977,-36060000.0
IND,BX.KLT.DINV.CD.WD,1978,18090000.0
IND,BX.KLT.DINV.CD.WD,1979,48570000.0
IND,BX.KLT.DINV.CD.WD,1980,79159999.9
IND,BX.KLT.DINV.CD.WD,1981,91920000.0
IND,BX.KLT.DINV.CD.WD,1982,72079999.9
IND,BX.KLT.DINV.CD.WD,1983,5639999.9
IND,BX.KLT.DINV.CD.WD,1984,19239999.9
IND,BX.KLT.DINV.CD.WD,1985,106090000.0
IND,BX.KLT.DINV.CD.WD,1986,117730000.0
IND,BX.KLT.DINV.CD.WD,1987,212319999.9
IND,BX.KLT.DINV.CD.WD,1988,91250000.0
IND,BX.KLT.DINV.CD.WD,1989,252099999.9
IND,BX.KLT.DINV.CD.WD,1990,236690000.0
IND,BX.KLT.DINV.CD.WD,1991,73537638.3885329
IND,BX.KLT.DINV.CD.WD,1992,276512438.973893
IND,BX.KLT.DINV.CD.WD,1993,550370024.929383
IND,BX.KLT.DINV.CD.WD,1994,973271468.722874
IND,BX.KLT.DINV.CD.WD,1995,2143628110.28392
IND,BX.KLT.DINV.CD.WD,1996,2426057021.91092
IND,BX.KLT.DINV.CD.WD,1997,3577330042.34586
IND,BX.KLT.DINV.CD.WD,1998,2634651657.77141
IND,BX.KLT.DINV.CD.WD,1999,2168591054.37924
IND,BX.KLT.DINV.CD.WD,2000,3584217307.18756
IND,BX.KLT.DINV.CD.WD,2001,5128093561.62688
IND,BX.KLT.DINV.CD.WD,2002,5208967106.27894
IND,BX.KLT.DINV.CD.WD,2003,3681984671.43429
IND,BX.KLT.DINV.CD.WD,2004,5429250989.85717
IND,BX.KLT.DINV.CD.WD,2005,7269407225.61438
IND,BX.KLT.DINV.CD.WD,2006,20029119267.1396
IND,BX.KLT.DINV.CD.WD,2007,25227740886.6819
IND,BX.KLT.DINV.CD.WD,2008,43406277075.8109
IND,BX.KLT.DINV.CD.WD,2009,35581372929.6642
IND,BX.KLT.DINV.CD.WD,2010,27396885033.7839
